"Speaker";"Title";"Repository";"Date";"Kind";"Passcode"
"Chase, Hunter";"Model-theoretic techniques in query learning";"https://cmu.zoom.us/rec/share/AX6VdIxV4_T6V_-r_DjWO5fsUv9F2HDzLg-n3u8J8Wn3QOVBtof4NuXJz0ssRfTH.EutmXkC3pp9bb1F7";"October 28, 2021";"seminar";"Bj8H#t1i"
"Lieberman, Michael";"Hilbert spaces and C*-algebras are not finitely discrete";"https://cmu.zoom.us/rec/share/-q5tp2gZFyd7eWbfOOBa4myU8gBximw5rdjbMyQwo9kmF_Sv5rSGa6i8C9RxpTmj.kT0-1ZxNgbRnE49n";"November 4, 2021";"seminar";"QK%+2uul"
"Leung, Samson";"Axiomatizing AECs and applications, part 1";"https://cmu.zoom.us/rec/share/Qm0SCA4pJC2RrJQzlX1mkubPQuUi0uedPrNRpwCCS7XpSyQ2I8qoDaqCYeqrv2qC.459gpbuu73GCbuOz";"November 11, 2021";"seminar";"8b?$l67u"
"Hasson, Assaf";"Zilber's restricted trichotomy";"http://www1.maths.leeds.ac.uk/~pmtpe/TDE/zoom26.mp4";"November 8, 2021";"seminar";
"Leung, Samson";"Axiomatizing AECs and applications, part 2";"https://cmu.zoom.us/rec/share/1TKR1hb72CmlI6nLI5R6rMkV_gT60PZN3-Kyk66MoiK-Xej0yE7CeDnTMvmchqGY.DF-8a6d4rdSyZQDZ";"November 18, 2021";"seminar";"Rv9ZQ=*+"
"Goodrick, John";"Ordered abelian groups, dp-minimality, and definable convex subgroups";"http://www1.maths.leeds.ac.uk/~pmtpe/TDE/zoom27.mp4";"November 22, 2021";"seminar"
"Leung, Samson";"Axiomatizing AECs and applications, part 3";"https://cmu.zoom.us/rec/share/dUakiwJDUDxKLVFhxu9PgV2yrLfEbrwIKuknM2F8gvtLfR93lXwNRtVPjlrDPOXn.broi4YwpNshsvTK-";"December 2, 2021";"seminar";"9$WzU+p8"
"Baldwin, John";"Category theory and Model Theory: Symbiotic Scaffolds";"https://cmu.zoom.us/rec/share/Xkr8LVvk6Z1KYILee_ETmqMjk_T1iEyodoTOcTqneIuS_VVM8Awu7X4quIUvwe3c.YrRpIPczqPGJ2XzQ-";"December 9, 2021";"seminar";"Q.@82%=Z"
"Leon Sanchez, Omar";"Remarks on bi-differential algebras";"http://www1.maths.leeds.ac.uk/~pmtpe/TDE/zoom28.mp4";"December 13, 2021";"seminar"
"Pynn-Coates, Nigel";"An Ax–Kochen/Ershov theorem for differential-henselian pre-H-fields";"http://www1.maths.leeds.ac.uk/~pmtpe/TDE/zoom29.mp4";"December 20, 2021";"seminar"
"Brech, Christina";"Isomorphic combinatorial families";"https://youtu.be/cXJinOLjMrs";"June 18, 2021";"seminar"
